Porsche,911 Turbo S,2021,https://www.youtube.com/watch?v=NYifTXGwCOM
Mercedes-Benz,A 250,2020,https://www.youtube.com/watch?v=PWspwo-ZW1k
BMW,M135i,2021,https://www.youtube.com/watch?v=qxrhqfDPdXM
Dacia,Duster,2020,https://www.youtube.com/watch?v=mp-5-_kRw0w
Volkswagen,Golf R,2021,https://www.youtube.com/watch?v=j9LEro19Ues
Audi,S3,2019,https://www.youtube.com/watch?v=ct8dAKKfqW0
Renault,Megane,2021,https://www.youtube.com/watch?v=lyFKOKvIye4
Porsche,993 GT2,1996,https://www.youtube.com/watch?v=adLhfYFYYlU
Mercedes-Benz,AMG GTR,2020,https://www.youtube.com/watch?v=ObE8KFDFmt8
Škoda,Octavia,2021,https://www.youtube.com/watch?v=SErOkO4UIXE
